district,region,Local_R2,latitude,longitude
Tarkwa-Nsuaem Municipal,Western,0.9265933414529333,5.310935,-1.992426
Wassa Amenfi Central,Western,0.9445427144230143,5.7890318,-2.0839856
Wassa Amenfi East Municipal,Western,0.9530266475952339,5.87660585,-1.98975398510416
Wassa Amenfi West Municipal,Western,0.8626576119103526,5.7735167,-2.5321498
Wassa East,Western,0.9201127258420616,5.3622378,-1.62070954561049
Aowin Municipal,Western North,0.824136110482933,5.69311555,-2.7557437678514
Bia East,Western North,0.7017809468248726,6.817878,-3.00681786775424
Bia West,Western North,0.7270398585470395,6.56894165,-3.06628883975843
Bibiani Anhwiaso Bekwai Municipal,Western North,0.9251078113997878,6.29602085,-2.23398871855776
Bodi,Western North,0.7589216415546945,6.24012575,-2.87347603617418
Juaboso,Western North,0.7467300459685691,6.3415722,-2.8235416
Sefwi Akontombra,Western North,0.7939990429069719,6.0425529,-2.8760069
Sefwi Wiawso Municipal,Western North,0.8266809559493616,6.30540429999999,-2.51755838219394
Suaman,Western North,0.7752805752866523,6.10824159999999,-3.00869712063798
