district,region,intercept,working_age_prop,female_pop_prop,women_edu_secondary,women_literacy,no_insurance_women,women_anemia,wife_beating_justified,decision_autonomy,ipv_12months,Local_R2,latitude,longitude
Gushegu Municipal,Northern,62.768427554487815,8.047933152885275,3.3149835743767575,-83.54735459169858,66.17542150739355,6.7935266582788,-19.410043499488424,-14.36751601799369,12.33884690876909,-9.529463525906184,0.9775193447902512,9.9185016,-0.2164706
Karaga,Northern,62.84359078323159,8.19951712196364,3.3091104604270427,-81.1881490860632,64.26203463914247,6.192575544352714,-19.234352285365276,-13.815909161816332,12.178997153056791,-9.200538320898815,0.9766812874572106,9.9267799,-0.4316607
Kpandai,Northern,58.801867513374695,9.861591454398255,0.6033970175976293,10.33368319121039,-7.5687496683528295,-16.941371018051587,2.320344951919969,-3.31804689981855,-2.754430430464513,3.7103542915648746,0.9749073580922337,8.4635789,-0.0119853
Kumbungu,Northern,64.53014093810428,9.878964655611139,1.372118760831576,-0.5325343277640737,7.514695216892255,-14.93072073084962,0.5502895718463918,-0.947570353759561,-4.279170080535705,0.33254731614264266,0.9666321545732652,9.5591282,-0.9467086
Mion,Northern,62.70053275680228,9.101158542293895,1.647723105925845,-45.19244779963444,35.66096911279841,-3.186274584312237,-11.326847798143547,-9.455885804670636,7.331935010437995,-4.413701450869125,0.9639698494181753,9.45284905,-0.335525511842833
Nanton,Northern,65.71359843077656,9.363374259610326,2.244880193049827,-0.19966494842569293,7.629993194607522,-15.056924647363044,-0.47990434419310546,-0.3461195735996627,-3.6643626691968354,0.13039980533261808,0.9697655317180746,9.55848269999999,-0.710728600167338
Nanumba North Municipal,Northern,59.44110841497677,9.308088939539989,-0.21371397639312528,-1.5188302342707019,3.470615835779917,-15.586188905823418,0.7606050859055422,-3.41532059262424,-1.9796039128441538,1.4179722281170015,0.970767224105969,8.92200959999999,-0.138644700894755
Nanumba South,Northern,59.34753111132497,9.341562561307487,-0.3840273666876305,-1.1177926751350498,3.3541773898984957,-15.838592942080773,1.2987717937916798,-3.50718015252467,-2.2452459284021558,1.5700616391903228,0.9735940349152553,8.76637935,0.0549741822848612
Saboba,Northern,66.11224242152554,8.107267974329345,2.9347314543068705,-75.85931262984059,56.35486840968139,6.9191694602038325,-21.49046115532053,-15.788221485696361,15.706914381888076,-8.234365119029356,0.978985907758199,9.70870525,0.196098328672698
Sagnarigu Municipal,Northern,64.66444527914551,9.734717908601382,1.4402999644428434,-0.4682002073602769,7.3569121903977805,-15.040750686909595,-0.032918537266400705,-0.3774908684180307,-3.675229372609936,0.056550822086906205,0.9648890124820344,9.48585935,-0.855049753344912
